currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level
CNY,Media,B,Medium,BB,Medium,B,Medium,260,320,240,820,BB,Medium
USD,,B,Medium,B,Medium,B,Medium,235,231,250,716,B,Medium
USD,Electrical Equipment,A,High,B,Medium,B,Medium,500,240,215,955,BBB,High
USD,Professional Services,B,Medium,B,Medium,B,Medium,275,264,278,817,BB,Medium
USD,Road and Rail,A,High,BB,Medium,BB,Medium,532,311,303,1146,BBB,High
USD,Metals and Mining,BBB,High,B,Medium,BB,Medium,400,240,300,940,BBB,High
USD,Metals and Mining,B,Medium,B,Medium,B,Medium,238,231,200,669,B,Medium
USD,Energy,BBB,High,B,Medium,BB,Medium,438,265,315,1018,BBB,High
USD,Technology,B,Medium,B,Medium,B,Medium,285,245,240,770,BB,Medium
USD,Biotechnology,B,Medium,B,Medium,BB,Medium,233,259,300,792,BB,Medium
USD,Biotechnology,B,Medium,B,Medium,B,Medium,210,251,290,751,BB,Medium
USD,Retail,BB,Medium,BB,Medium,BB,Medium,335,300,300,935,BBB,High
CNY,Electrical Equipment,B,Medium,B,Medium,B,Medium,217,200,200,617,B,Medium
USD,Health Care,B,Medium,B,Medium,B,Medium,205,201,210,616,B,Medium
USD,Communications,BB,Medium,BB,Medium,BB,Medium,340,310,365,1015,BBB,High
CNY,Retail,B,Medium,B,Medium,B,Medium,203,202,225,630,B,Medium
USD,Banking,BB,Medium,BB,Medium,BB,Medium,331,322,305,958,BBB,High
CNY,Technology,B,Medium,B,Medium,B,Medium,205,214,215,634,B,Medium
USD,Metals and Mining,B,Medium,B,Medium,B,Medium,223,212,200,635,B,Medium
USD,Construction,A,High,B,Medium,BB,Medium,500,233,300,1033,BBB,High
USD,Health Care,B,Medium,B,Medium,B,Medium,240,236,250,726,B,Medium
USD,Metals and Mining,A,High,BB,Medium,BB,Medium,505,302,320,1127,BBB,High
USD,,B,Medium,B,Medium,BB,Medium,205,257,300,762,BB,Medium
CNY,Financial Services,B,Medium,B,Medium,B,Medium,200,200,220,620,B,Medium
USD,Health Care,BBB,High,BB,Medium,B,Medium,441,300,270,1011,BBB,High
USD,Media,BB,Medium,BB,Medium,BB,Medium,330,300,300,930,BBB,High
USD,Financial Services,B,Medium,B,Medium,B,Medium,215,203,203,621,B,Medium
USD,Insurance,A,High,BB,Medium,BB,Medium,500,322,315,1137,BBB,High
USD,Insurance,A,High,BB,Medium,BB,Medium,540,329,340,1209,A,High
USD,Marine,B,Medium,B,Medium,B,Medium,242,204,200,646,B,Medium
USD,Construction,B,Medium,B,Medium,B,Medium,200,200,200,600,B,Medium
USD,Electrical Equipment,A,High,B,Medium,B,Medium,510,209,210,929,BBB,High
USD,"Hotels, Restaurants & Leisure",B,Medium,B,Medium,B,Medium,235,209,205,649,B,Medium
USD,Real Estate,AA,Excellent,BBB,High,BB,Medium,646,404,313,1363,A,High
USD,Building,A,High,BB,Medium,BB,Medium,535,305,300,1140,BBB,High
USD,Consumer products,B,Medium,B,Medium,B,Medium,245,272,230,747,B,Medium
